CustomerID,Business_Category,Business_Size,Customer_Since
B2B-2013,Legal Services,Medium,2023-01-26
B2B-2310,Tech Startup,Medium,2022-03-08
B2B-2782,Tech Startup,Small,2023-09-01
B2B-2215,Consulting,Small,2022-10-27
B2B-2436,Education,Small,2022-06-24
B2B-2648,Education,Small,2023-09-08
B2B-2298,Legal Services,Small,2022-09-23
B2B-2163,Tech Startup,Small,2022-09-12
B2B-2679,Consulting,Small,2022-06-25
B2B-2287,Education,Medium,2022-12-22
B2B-2120,Construction,Small,2023-10-24
B2B-2342,Construction,Small,2023-04-08
B2B-2731,Legal Services,Medium,2024-02-09
B2B-2590,Construction,Medium,2023-01-10
B2B-2692,Legal Services,Small,2023-04-04
B2B-2002,Tech Startup,Small,2023-03-12
B2B-2404,Consulting,Small,2023-12-22
B2B-2607,Construction,Small,2022-02-26
B2B-2083,Legal Services,Medium,2023-03-04
B2B-2275,Construction,Small,2023-04-11
B2B-2181,Tech Startup,Small,2023-06-29
B2B-2418,Education,Medium,2023-04-24
B2B-2395,Legal Services,Small,2024-03-05
B2B-2156,Consulting,Medium,2022-06-19
B2B-2631,Education,Small,2023-07-07
B2B-2674,Construction,Small,2022-01-02
B2B-2399,Education,Small,2022-05-12
B2B-2586,Legal Services,Small,2022-10-25
B2B-2729,Legal Services,Small,2023-04-13
B2B-2193,Consulting,Small,2023-06-06
B2B-2216,Tech Startup,Small,2023-12-25
B2B-2689,Legal Services,Small,2022-10-09
B2B-2248,Tech Startup,Small,2022-05-31
B2B-2110,Education,Small,2022-07-28
B2B-2115,Legal Services,Small,2022-01-05
B2B-2612,Education,Medium,2022-06-28
B2B-2580,Education,Small,2023-02-09
B2B-2603,Construction,Small,2023-02-24
B2B-2643,Education,Small,2022-12-01
B2B-2200,Education,Medium,2023-08-25
B2B-2531,Legal Services,Small,2024-02-27
B2B-2198,Education,Small,2023-08-27
B2B-2401,Construction,Small,2022-09-13
B2B-2525,Legal Services,Medium,2023-12-09
B2B-2469,Construction,Medium,2022-10-27
B2B-2524,Legal Services,Small,2022-06-28
B2B-2773,Education,Small,2024-03-22
B2B-2613,Construction,Small,2023-10-22
B2B-2004,Tech Startup,Small,2023-06-18
B2B-2015,Education,Medium,2022-06-09
B2B-2528,Construction,Small,2022-04-19
B2B-2366,Legal Services,Small,2024-05-07
B2B-2150,Education,Medium,2022-03-14
B2B-2618,Construction,Small,2023-07-12
B2B-2054,Tech Startup,Medium,2023-11-28
B2B-2032,Construction,Medium,2023-03-02
B2B-2665,Legal Services,Medium,2023-09-12
B2B-2619,Tech Startup,Small,2023-07-27
B2B-2280,Education,Small,2024-04-07
B2B-2626,Education,Small,2023-10-24
B2B-2541,Construction,Small,2022-08-18
B2B-2313,Tech Startup,Small,2023-10-18
B2B-2262,Education,Small,2022-07-26
B2B-2051,Tech Startup,Medium,2023-11-10
B2B-2701,Tech Startup,Medium,2023-11-02
B2B-2261,Legal Services,Medium,2023-03-10
B2B-2311,Legal Services,Medium,2023-04-24
B2B-2272,Education,Small,2022-03-16
B2B-2456,Education,Small,2022-07-24
B2B-2793,Legal Services,Medium,2023-06-16
B2B-2336,Education,Small,2022-12-07
B2B-2649,Tech Startup,Small,2023-02-12
B2B-2791,Tech Startup,Medium,2022-07-08
B2B-2191,Legal Services,Medium,2023-12-06
B2B-2691,Legal Services,Small,2023-05-09
B2B-2256,Education,Small,2023-10-20
B2B-2219,Construction,Small,2023-03-04
B2B-2633,Legal Services,Medium,2022-07-21
B2B-2421,Construction,Small,2023-01-28
B2B-2174,Tech Startup,Medium,2024-02-29
B2B-2538,Education,Small,2022-05-08
B2B-2258,Education,Small,2023-11-24
B2B-2348,Education,Small,2022-08-14
B2B-2390,Education,Medium,2023-03-07
B2B-2495,Legal Services,Medium,2022-11-24
B2B-2671,Tech Startup,Medium,2022-12-27
B2B-2005,Education,Small,2023-04-19
B2B-2657,Legal Services,Small,2024-04-18
B2B-2581,Legal Services,Medium,2023-12-15
B2B-2220,Tech Startup,Medium,2022-02-22
B2B-2500,Tech Startup,Medium,2022-05-17
B2B-2517,Consulting,Small,2023-02-26
B2B-2720,Education,Medium,2024-03-22
B2B-2213,Education,Small,2023-06-28
B2B-2598,Legal Services,Small,2022-01-04
B2B-2271,Legal Services,Small,2022-01-16
B2B-2041,Education,Small,2024-05-14
B2B-2339,Tech Startup,Medium,2022-01-18
B2B-2374,Construction,Small,2022-06-16
B2B-2437,Construction,Medium,2023-08-22
B2B-2733,Tech Startup,Small,2022-08-03
