SKU,Rev_GL_Class,Sub_Category,Item_Description,Brand,Unit_Price,Attributes
1001,OFFICE SUPPLIES,Paper,"PaperOne Paper - A4, 70",PaperOne,37.32,"{""Size"": ""A4"", ""Weight_gsm"": 70}"
1002,OFFICE SUPPLIES,Paper,"PaperOne Paper - A4, 80",PaperOne,36.51,"{""Size"": ""A4"", ""Weight_gsm"": 80}"
1003,OFFICE SUPPLIES,Paper,"PaperOne Paper - A3, 70",PaperOne,34.99,"{""Size"": ""A3"", ""Weight_gsm"": 70}"
1004,OFFICE SUPPLIES,Paper,"PaperOne Paper - A3, 80",PaperOne,61.56,"{""Size"": ""A3"", ""Weight_gsm"": 80}"
1005,OFFICE SUPPLIES,Paper,"Double A Paper - A4, 70",Double A,68.41,"{""Size"": ""A4"", ""Weight_gsm"": 70}"
1006,OFFICE SUPPLIES,Paper,"Double A Paper - A4, 80",Double A,69.16,"{""Size"": ""A4"", ""Weight_gsm"": 80}"
1007,OFFICE SUPPLIES,Paper,"Double A Paper - A3, 70",Double A,59.1,"{""Size"": ""A3"", ""Weight_gsm"": 70}"
1008,OFFICE SUPPLIES,Paper,"Double A Paper - A3, 80",Double A,99.64,"{""Size"": ""A3"", ""Weight_gsm"": 80}"
1009,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Black, 1500",HP,77.44,"{""Color"": ""Black"", ""Page_Yield"": 1500}"
1010,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Black, 3000",HP,108.11,"{""Color"": ""Black"", ""Page_Yield"": 3000}"
1011,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Black, 8000",HP,81.96,"{""Color"": ""Black"", ""Page_Yield"": 8000}"
1012,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Cyan, 1500",HP,82.24,"{""Color"": ""Cyan"", ""Page_Yield"": 1500}"
1013,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Cyan, 3000",HP,82.77,"{""Color"": ""Cyan"", ""Page_Yield"": 3000}"
1014,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Cyan, 8000",HP,111.09,"{""Color"": ""Cyan"", ""Page_Yield"": 8000}"
1015,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Magenta, 1500",HP,91.56,"{""Color"": ""Magenta"", ""Page_Yield"": 1500}"
1016,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Magenta, 3000",HP,107.73,"{""Color"": ""Magenta"", ""Page_Yield"": 3000}"
1017,OFFICE SUPPLIES,Ink & Toner,"HP Ink & Toner - Magenta, 8000",HP,132.69,"{""Color"": ""Magenta"", ""Page_Yield"": 8000}"
